zipcode,tax
95220,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
93510,"['9.5% (Combined)', '6% (State)', '0.25% (County)', '3.25% (Special)']"
92301,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
96006,"['7.25% (Combined)', '6% (State)', '0.25% (County)', '1% (Special)']"
91301,"['9.5% (Combined)', '6% (State)', '0.25% (County)', '3.25% (Special)']"
91375,['6.5%']
91376,"['9.5% (Combined)', '6% (State)', '0.25% (County)', '3.25% (Special)']"
92536,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
93601,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
94501,"['9.75% (Combined)', '6% (State)', '0.25% (County)', '0.5% (City)', '3% (Special)']"
94502,"['9.75% (Combined)', '6% (State)', '0.25% (County)', '0.5% (City)', '3% (Special)']"
94507,"['8.25% (Combined)', '6% (State)', '0.25% (County)', '2% (Special)']"
94706,"['9.75% (Combined)', '6% (State)', '0.25% (County)', '0.5% (City)', '3% (Special)']"
95410,"['7.875% (Combined)', '6% (State)', '0.25% (County)', '1.625% (Special)']"
95511,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
91801,"['9.5% (Combined)', '6% (State)', '0.25% (County)', '3.25% (Special)']"
91802,"['9.5% (Combined)', '6% (State)', '0.25% (County)', '3.25% (Special)']"
91803,"['9.5% (Combined)', '6% (State)', '0.25% (County)', '3.25% (Special)']"
91804,"['9.5% (Combined)', '6% (State)', '0.25% (County)', '3.25% (Special)']"
91841,['6.5%']
91896,"['9.5% (Combined)', '6% (State)', '0.25% (County)', '3.25% (Special)']"
91899,"['9.5% (Combined)', '6% (State)', '0.25% (County)', '3.25% (Special)']"
92656,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92698,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
95910,"['7.25% (Combined)', '6% (State)', '0.25% (County)', '1% (Special)']"
93201,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
91901,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
91903,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
95701,"['7.25% (Combined)', '6% (State)', '0.25% (County)', '1% (Special)']"
91001,"['9.5% (Combined)', '6% (State)', '0.25% (County)', '3.25% (Special)']"
91002,['6.5%']
91003,"['9.5% (Combined)', '6% (State)', '0.25% (County)', '3.25% (Special)']"
95221,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '0.5% (City)', '1% (Special)']"
96101,"['7.25% (Combined)', '6% (State)', '0.25% (County)', '1% (Special)']"
95002,"['9.25% (Combined)', '6% (State)', '0.25% (County)', '0.25% (City)', '2.75% (Special)']"
95601,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92304,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
94503,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92801,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92802,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92803,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92804,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92805,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92806,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92807,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92808,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92809,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92812,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92814,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92815,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92816,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92817,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92825,"['7.75% (Combined)', '6% (State)', '0.25% (County)', '1.5% (Special)']"
92850,"['8% (Combined)', '6.5% (State)', '1% (County)', '0.5% (Special)']"
